STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
Merrimack,14,4,0.778,0,0,20,11,0.645,1948,1866,W1,0.0,0.0,62.838709677419345,60.193548387096776,10,2,9,8,1,1,0,0,226
"Robert Morris
RMU",13,5,0.722,0,0,20,14,0.588,2373,2280,W4,0.0,0.0,69.79411764705883,67.05882352941177,12,3,7,11,1,0,0,0,165
Saint Francis U,13,5,0.722,0,0,22,10,0.688,2485,2298,L1,0.0,0.0,77.65625,71.8125,13,2,8,8,1,0,0,1,80
"Sacred Heart
SHU",12,6,0.667,0,0,20,13,0.606,2420,2291,L1,0.0,0.0,73.33333333333333,69.42424242424242,9,4,10,8,1,1,0,0,63
"Fair Dickinson
FDU",9,9,0.5,0,0,11,19,0.36700000000000005,2167,2236,L1,0.0,0.0,72.23333333333333,74.53333333333333,7,5,4,14,0,0,0,1,279
"LIU
LIU",9,9,0.5,0,0,15,18,0.455,2504,2534,L1,0.0,0.0,75.87878787878788,76.78787878787878,8,5,6,11,1,2,0,1,
Bryant,7,11,0.389,0,0,15,17,0.469,2271,2223,L1,0.0,0.0,70.96875,69.46875,9,5,6,12,0,0,0,1,179
St Francis (BKN),7,11,0.389,0,0,13,18,0.419,2168,2220,L1,0.0,0.0,69.93548387096774,71.61290322580646,9,5,4,13,0,0,0,0,217
Mount St Mary's,7,11,0.389,0,0,11,21,0.344,2053,2132,L3,0.0,0.0,64.15625,66.625,8,6,3,15,0,0,0,2,310
Wagner,5,13,0.278,0,0,8,21,0.276,1982,2210,L2,0.0,0.0,68.34482758620689,76.20689655172414,5,8,3,13,0,0,0,1,292
"Cent Conn St
CCSU",3,15,0.16699999999999998,0,0,4,27,0.129,1959,2396,L3,0.0,0.0,63.193548387096776,77.29032258064517,4,9,0,16,0,2,0,1,283
