STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Florida State,16,4,.800,0,0,26,5,.839,2336,2037,W2,0.0,0.0,75.35483870967742,65.70967741935483,16,0,7,5,3,0,4,1
Virginia,15,5,.750,0,0,23,7,.767,1711,1571,W8,0.0,0.0,57.03333333333333,52.36666666666667,14,3,7,4,2,0,4,2
Duke,15,5,.750,0,0,25,6,.806,2558,2107,W2,0.0,0.0,82.51612903225806,67.96774193548387,15,2,7,4,3,0,3,1
Louisville,15,5,.750,0,0,24,7,.774,2296,1974,L1,0.0,0.0,74.06451612903226,63.67741935483871,17,1,6,5,1,1,2,4
Georgia Tech,11,9,.550,0,0,17,14,.548,2126,2059,W4,0.0,0.0,68.58064516129032,66.41935483870968,10,6,5,7,2,1,1,4
Syracuse,10,10,.500,0,0,18,14,.563,2378,2216,W1,0.0,0.0,74.3125,69.25,11,7,6,5,1,2,1,4
Notre Dame,10,10,.500,0,0,20,12,.625,2376,2197,W2,0.0,0.0,74.25,68.65625,15,4,4,7,1,1,0,6
North Carolina St,10,10,.500,0,0,20,12,.625,2388,2231,W2,0.0,0.0,74.625,69.71875,14,4,5,7,1,1,1,5
Clemson,9,11,.450,0,0,16,15,.516,2062,1988,W1,0.0,0.0,66.51612903225806,64.12903225806451,11,6,3,8,2,1,3,3
Boston College,7,13,.350,0,0,13,19,.406,2067,2260,L6,0.0,0.0,64.59375,70.625,8,10,4,8,1,1,1,4
Virginia Tech,7,13,.350,0,0,16,16,.500,2194,2128,L2,0.0,0.0,68.5625,66.5,12,6,3,7,1,3,1,5
Miami (FL),7,13,.350,0,0,15,16,.484,2207,2270,L1,0.0,0.0,71.19354838709677,73.2258064516129,9,5,4,8,2,3,0,7
Wake Forest,6,14,.300,0,0,13,18,.419,2276,2321,L3,0.0,0.0,73.41935483870968,74.87096774193549,9,5,1,11,3,2,2,4
Pittsburgh,6,14,.300,0,0,16,17,.485,2152,2169,L1,0.0,0.0,65.21212121212122,65.72727272727273,11,7,2,9,3,1,0,4
North Carolina,6,14,.300,0,0,14,19,.424,2383,2403,L1,0.0,0.0,72.21212121212122,72.81818181818181,7,8,3,9,4,2,1,7
