STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Murray State,15,3,.833,0,0,23,9,.719,2413,2070,L1,0.0,0.0,75.40625,64.6875,15,0,6,6,2,3,0,0
Belmont,15,3,.833,0,0,26,7,.788,2627,2241,W12,0.0,0.0,79.60606060606061,67.9090909090909,13,1,11,5,2,1,0,0
Austin Peay,14,4,.778,0,0,21,12,.636,2519,2359,L1,0.0,0.0,76.33333333333333,71.48484848484848,14,0,5,10,2,2,0,0
Eastern Kentucky,12,6,.667,0,0,16,17,.485,2464,2488,L1,0.0,0.0,74.66666666666667,75.39393939393939,10,4,5,10,1,3,0,2
Tennessee State,9,9,.500,0,0,18,15,.545,2355,2345,L1,0.0,0.0,71.36363636363636,71.06060606060606,11,3,4,11,3,1,0,1
Eastern Illinois,9,9,.500,0,0,17,15,.531,2377,2214,L1,0.0,0.0,74.28125,69.1875,10,2,5,11,2,2,0,1
Jacksonville St,8,10,.444,0,0,13,19,.406,2294,2218,L1,0.0,0.0,71.6875,69.3125,8,6,4,11,1,2,0,1
Morehead State,7,11,.389,0,0,13,19,.406,2208,2240,L3,0.0,0.0,69.0,70.0,11,4,2,14,0,1,0,0
Tennessee Tech,6,12,.333,0,0,9,22,.290,2033,2241,L2,0.0,0.0,65.58064516129032,72.29032258064517,6,8,3,12,0,2,0,0
SIU-Edwardsville,5,13,.278,0,0,8,23,.258,2073,2261,L1,0.0,0.0,66.87096774193549,72.93548387096774,4,10,4,13,0,0,0,0
UT Martin,5,13,.278,0,0,9,20,.310,2194,2382,W1,0.0,0.0,75.65517241379311,82.13793103448276,6,6,2,12,1,2,0,1
SE Missouri State,3,15,.167,0,0,7,24,.226,2054,2307,L4,0.0,0.0,66.25806451612904,74.41935483870968,6,7,0,16,1,1,0,1
